date	ouv	haut	bas	clot	vol	devise	
03/03/2014	22.119	22.2	22.091	22.117	28945	EUR	
04/03/2014	22.338	22.53	22.336	22.524	39230	EUR	
05/03/2014	22.552	22.589	22.536	22.56	35305	EUR	
06/03/2014	22.621	22.621	22.436	22.467	30779	EUR	
07/03/2014	22.411	22.512	22.339	22.353	143017	EUR	
10/03/2014	22.3	22.395	22.3	22.342	5651	EUR	
11/03/2014	22.419	22.426	22.341	22.341	52260	EUR	
12/03/2014	22.285	22.285	22.157	22.166	410	EUR	
13/03/2014	22.192	22.235	22.06	22.08	2393	EUR	
14/03/2014	22.059	22.059	21.944	21.944	31115	EUR	
17/03/2014	21.969	22.118	21.969	22.118	43849	EUR	
18/03/2014	22.095	22.274	22.073	22.238	7218	EUR	
19/03/2014	22.255	22.275	22.237	22.266	39700	EUR	
20/03/2014	22.279	22.45	22.279	22.45	461	EUR	
21/03/2014	22.544	22.578	22.53	22.565	56656	EUR	
24/03/2014	22.424	22.468	22.212	22.212	34304	EUR	
25/03/2014	22.225	22.437	22.225	22.353	3995	EUR	
26/03/2014	22.375	22.498	22.375	22.431	195249	EUR	
27/03/2014	22.293	22.339	22.157	22.266	14473	EUR	
28/03/2014	22.345	22.448	22.345	22.447	48874	EUR	
31/03/2014	22.454	22.487	22.386	22.458	55095	EUR	
01/04/2014	22.507	22.6	22.507	22.543	601	EUR	
02/04/2014	22.639	22.714	22.637	22.714	1123	EUR	
03/04/2014	22.723	22.82	22.7	22.803	45239	EUR	
04/04/2014	22.872	22.91	22.794	22.803	7752	EUR	
07/04/2014	22.5	22.5	22.363	22.363	44405	EUR	
08/04/2014	22.287	22.287	22.105	22.214	5282	EUR	
09/04/2014	22.246	22.296	22.22	22.232	42097	EUR	
10/04/2014	22.39	22.39	22.153	22.153	28415	EUR	
11/04/2014	21.868	21.892	21.788	21.829	39713	EUR	
14/04/2014	21.734	21.974	21.721	21.974	17795	EUR	
15/04/2014	21.958	22.006	21.94	21.964	8464	EUR	
16/04/2014	22.222	22.234	22.19	22.234	3072	EUR	
17/04/2014	22.213	22.326	22.19	22.326	32688	EUR	
22/04/2014	22.417	22.603	22.417	22.603	21119	EUR	
23/04/2014	22.559	22.559	22.45	22.512	9866	EUR	
24/04/2014	22.584	22.647	22.443	22.55	53237	EUR	
25/04/2014	22.487	22.487	22.332	22.332	1604	EUR	
28/04/2014	22.385	22.385	22.324	22.331	32277	EUR	
29/04/2014	22.401	22.529	22.401	22.529	6325	EUR	
30/04/2014	22.476	22.544	22.406	22.446	110910	EUR	
02/05/2014	22.545	22.66	22.5	22.52	43311	EUR	
05/05/2014	22.458	22.479	22.339	22.479	10502	EUR	
06/05/2014	22.5	22.5	22.324	22.324	461	EUR	
07/05/2014	22.229	22.318	22.198	22.291	37650	EUR	
08/05/2014	22.37	22.574	22.309	22.574	4936	EUR	
09/05/2014	22.498	22.53	22.491	22.516	12320	EUR	
12/05/2014	22.639	22.823	22.639	22.823	0	EUR	
13/05/2014	22.888	23	22.888	22.973	3341	EUR	
14/05/2014	22.959	22.959	22.908	22.908	32776	EUR	
15/05/2014	22.856	22.929	22.559	22.571	21872	EUR	
16/05/2014	22.603	22.668	22.595	22.664	1115	EUR	
19/05/2014	22.693	22.785	22.646	22.785	27657	EUR	
20/05/2014	22.802	22.841	22.761	22.776	6023	EUR	
21/05/2014	22.641	22.861	22.641	22.861	543	EUR	
22/05/2014	22.955	23.033	22.913	23.033	27293	EUR	
23/05/2014	23.011	23.118	23.011	23.118	50188	EUR	
26/05/2014	23.158	23.186	23.152	23.166	34560	EUR	
27/05/2014	23.154	23.263	23.154	23.263	10	EUR	
28/05/2014	23.279	23.347	23.279	23.347	54501	EUR	
29/05/2014	23.361	23.361	23.341	23.341	50	EUR	
30/05/2014	23.381	23.397	23.363	23.37	14033	EUR	
02/06/2014	23.452	23.483	23.37	23.473	390	EUR	
03/06/2014	23.46	23.475	23.37	23.414	11891	EUR	
04/06/2014	23.444	23.494	23.387	23.494	13768	EUR	
05/06/2014	23.522	23.669	23.493	23.613	60637	EUR	
06/06/2014	23.621	23.729	23.621	23.712	11968	EUR	
09/06/2014	23.682	23.871	23.68	23.871	678	EUR	
10/06/2014	23.792	23.895	23.792	23.895	6119	EUR	
11/06/2014	23.916	23.916	23.8	23.857	585	EUR	
12/06/2014	23.867	23.878	23.757	23.757	2797	EUR	
13/06/2014	23.672	23.755	23.612	23.738	12307	EUR	
16/06/2014	23.692	23.738	23.634	23.634	10656	EUR	
17/06/2014	23.737	23.79	23.71	23.77	37015	EUR	
18/06/2014	23.81	23.81	23.75	23.762	5993	EUR	
19/06/2014	23.875	23.875	23.842	23.844	5272	EUR	
20/06/2014	23.884	24.007	23.884	24.007	35883	EUR	
23/06/2014	24.007	24.007	23.94	23.94	10882	EUR	
24/06/2014	23.938	24.045	23.869	24.045	1170	EUR	
25/06/2014	23.817	23.833	23.773	23.827	9471	EUR	
26/06/2014	23.848	23.867	23.803	23.844	40240	EUR	
27/06/2014	23.791	23.861	23.791	23.841	7469	EUR	
30/06/2014	23.855	23.883	23.8	23.81	13532	EUR	
01/07/2014	23.844	23.978	23.827	23.978	2163	EUR	
02/07/2014	23.971	24.046	23.971	24.046	44757	EUR	
03/07/2014	24.019	24.216	24.019	24.216	6599	EUR	
04/07/2014	24.226	24.235	24.226	24.235	0	EUR	
07/07/2014	24.253	24.253	24.156	24.156	31126	EUR	
08/07/2014	24.17	24.17	23.963	23.963	26820	EUR	
09/07/2014	23.993	24.073	23.993	24.006	6694	EUR	
10/07/2014	24.022	24.022	23.877	23.986	1500	EUR	
11/07/2014	24.005	24.045	23.986	24.024	86627	EUR	
14/07/2014	24.092	24.152	24.092	24.152	9351	EUR	
15/07/2014	24.153	24.154	24.129	24.154	238	EUR	
16/07/2014	24.222	24.367	24.222	24.303	27343	EUR	
17/07/2014	24.285	24.301	24.245	24.252	32560	EUR	
18/07/2014	24.086	24.265	24.086	24.26	40051	EUR	
21/07/2014	24.267	24.28	24.181	24.227	50261	EUR	
22/07/2014	24.281	24.505	24.281	24.505	22271	EUR	
23/07/2014	24.488	24.533	24.473	24.533	101683	EUR	
24/07/2014	24.551	24.589	24.525	24.589	8135	EUR	
