date	ouv	haut	bas	clot	vol	devise	
01/06/2016	119.94	119.94	119.94	119.94	0	USD	
02/06/2016	120.47	120.47	120.47	120.47	0	USD	
03/06/2016	119.83	119.83	119.83	119.83	0	USD	
06/06/2016	121.56	121.56	121.56	121.56	0	USD	
07/06/2016	122.23	122.23	122.23	122.23	0	USD	
08/06/2016	122.37	122.37	122.37	122.37	0	USD	
09/06/2016	121.35	121.35	121.35	121.35	0	USD	
10/06/2016	119.51	119.51	119.51	119.51	0	USD	
13/06/2016	118.38	118.38	118.38	118.38	0	USD	
14/06/2016	117.03	117.03	117.03	117.03	0	USD	
15/06/2016	117.19	117.19	117.19	117.19	0	USD	
16/06/2016	116.96	116.96	116.96	116.96	0	USD	
17/06/2016	117.95	117.95	117.95	117.95	0	USD	
20/06/2016	119.4	119.4	119.4	119.4	0	USD	
21/06/2016	119.9	119.9	119.9	119.9	0	USD	
22/06/2016	119.51	119.51	119.51	119.51	0	USD	
24/06/2016	115.32	115.32	115.32	115.32	0	USD	
27/06/2016	110.3	110.3	110.3	110.3	0	USD	
28/06/2016	113.59	113.59	113.59	113.59	0	USD	
29/06/2016	116.47	116.47	116.47	116.47	0	USD	
30/06/2016	118.24	118.24	118.24	118.24	0	USD	
01/07/2016	118.37	118.37	118.37	118.37	0	USD	
05/07/2016	115.18	115.18	115.18	115.18	0	USD	
06/07/2016	115.93	115.93	115.93	115.93	0	USD	
07/07/2016	116.48	116.48	116.48	116.48	0	USD	
08/07/2016	118.89	118.89	118.89	118.89	0	USD	
11/07/2016	119.77	119.77	119.77	119.77	0	USD	
12/07/2016	122.4	122.4	122.4	122.4	0	USD	
13/07/2016	122.21	122.21	122.21	122.21	0	USD	
14/07/2016	123.43	123.43	123.43	123.43	0	USD	
15/07/2016	123.45	123.45	123.45	123.45	0	USD	
18/07/2016	123.87	123.87	123.87	123.87	0	USD	
19/07/2016	122.97	122.97	122.97	122.97	0	USD	
20/07/2016	123.94	123.94	123.94	123.94	0	USD	
21/07/2016	123.74	123.74	123.74	123.74	0	USD	
22/07/2016	123.81	123.81	123.81	123.81	0	USD	
