date	ouv	haut	bas	clot	vol	devise	
15/02/2016	97.25	97.25	97.25	97.25	0	EUR	
16/02/2016	97.36	97.36	97.36	97.36	0	EUR	
17/02/2016	99.28	99.28	99.28	99.28	0	EUR	
18/02/2016	99.87	99.87	99.87	99.87	0	EUR	
22/02/2016	100.61	100.61	100.61	100.61	0	EUR	
23/02/2016	99.83	99.83	99.83	99.83	0	EUR	
24/02/2016	98.74	98.74	98.74	98.74	0	EUR	
25/02/2016	99.97	99.97	99.97	99.97	0	EUR	
29/02/2016	101.29	101.29	101.29	101.29	0	EUR	
01/03/2016	102.77	102.77	102.77	102.77	0	EUR	
02/03/2016	103.03	103.03	103.03	103.03	0	EUR	
03/03/2016	102.56	102.56	102.56	102.56	0	EUR	
04/03/2016	102.98	102.98	102.98	102.98	0	EUR	
07/03/2016	102.64	102.64	102.64	102.64	0	EUR	
08/03/2016	101.68	101.68	101.68	101.68	0	EUR	
09/03/2016	102.05	102.05	102.05	102.05	0	EUR	
10/03/2016	101.02	101.02	101.02	101.02	0	EUR	
11/03/2016	103.31	103.31	103.31	103.31	0	EUR	
14/03/2016	103.88	103.88	103.88	103.88	0	EUR	
15/03/2016	103.4	103.4	103.4	103.4	0	EUR	
16/03/2016	103.68	103.68	103.68	103.68	0	EUR	
17/03/2016	103.03	103.03	103.03	103.03	0	EUR	
18/03/2016	103.62	103.62	103.62	103.62	0	EUR	
21/03/2016	103.76	103.76	103.76	103.76	0	EUR	
22/03/2016	104.08	104.08	104.08	104.08	0	EUR	
23/03/2016	104.13	104.13	104.13	104.13	0	EUR	
24/03/2016	103.23	103.23	103.23	103.23	0	EUR	
29/03/2016	103.85	103.85	103.85	103.85	0	EUR	
30/03/2016	104.53	104.53	104.53	104.53	0	EUR	
31/03/2016	103.81	103.81	103.81	103.81	0	EUR	
01/04/2016	103.34	103.34	103.34	103.34	0	EUR	
04/04/2016	103.52	103.52	103.52	103.52	0	EUR	
05/04/2016	102.02	102.02	102.02	102.02	0	EUR	
07/04/2016	102.18	102.18	102.18	102.18	0	EUR	
08/04/2016	102.76	102.76	102.76	102.76	0	EUR	
11/04/2016	102.83	102.83	102.83	102.83	0	EUR	
12/04/2016	103.28	103.28	103.28	103.28	0	EUR	
13/04/2016	105.21	105.21	105.21	105.21	0	EUR	
14/04/2016	105.59	105.59	105.59	105.59	0	EUR	
15/04/2016	105.3	105.3	105.3	105.3	0	EUR	
18/04/2016	105.69	105.69	105.69	105.69	0	EUR	
19/04/2016	106.54	106.54	106.54	106.54	0	EUR	
20/04/2016	106.56	106.56	106.56	106.56	0	EUR	
21/04/2016	106.55	106.55	106.55	106.55	0	EUR	
