date	ouv	haut	bas	clot	vol	devise	
03/03/2014	100.113	100.113	100.113	100.113	0	EUR	
04/03/2014	100.113	100.113	100.113	100.113	0	EUR	
05/03/2014	100.114	100.114	100.114	100.114	0	EUR	
06/03/2014	100.115	100.115	100.115	100.115	0	EUR	
07/03/2014	100.116	100.116	100.116	100.116	0	EUR	
10/03/2014	100.117	100.117	100.117	100.117	0	EUR	
11/03/2014	100.118	100.118	100.118	100.118	0	EUR	
12/03/2014	100.118	100.118	100.118	100.118	0	EUR	
13/03/2014	100.119	100.119	100.119	100.119	0	EUR	
14/03/2014	100.119	100.119	100.119	100.119	0	EUR	
17/03/2014	100.12	100.12	100.12	100.12	0	EUR	
18/03/2014	100.121	100.121	100.121	100.121	0	EUR	
19/03/2014	100.121	100.121	100.121	100.121	0	EUR	
20/03/2014	100.122	100.122	100.122	100.122	0	EUR	
21/03/2014	100.122	100.122	100.122	100.122	0	EUR	
24/03/2014	100.123	100.123	100.123	100.123	0	EUR	
25/03/2014	100.124	100.124	100.124	100.124	0	EUR	
26/03/2014	100.124	100.124	100.124	100.124	0	EUR	
27/03/2014	100.125	100.125	100.125	100.125	0	EUR	
28/03/2014	100.126	100.126	100.126	100.126	0	EUR	
31/03/2014	100.127	100.127	100.127	100.127	0	EUR	
01/04/2014	100.129	100.129	100.129	100.129	0	EUR	
02/04/2014	100.13	100.13	100.13	100.13	0	EUR	
03/04/2014	100.13	100.13	100.13	100.13	0	EUR	
04/04/2014	100.131	100.131	100.131	100.131	0	EUR	
07/04/2014	100.133	100.133	100.133	100.133	0	EUR	
08/04/2014	100.134	100.134	100.134	100.134	0	EUR	
09/04/2014	100.135	100.135	100.135	100.135	0	EUR	
10/04/2014	100.136	100.136	100.136	100.136	0	EUR	
11/04/2014	100.137	100.137	100.137	100.137	0	EUR	
14/04/2014	100.138	100.138	100.138	100.138	0	EUR	
15/04/2014	100.139	100.139	100.139	100.139	0	EUR	
16/04/2014	100.14	100.14	100.14	100.14	0	EUR	
